,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00,2015-12-31 00:00:00,2014-12-31 00:00:00
SECUCODE,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ,300750.SZ
SECURITY_CODE,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750,300750
SECURITY_NAME_ABBR,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代,宁德时代
ORG_CODE,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205,10554205
ORG_TYPE,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用,通用
REPORT_TYPE,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
REPORT_DATE_NAME,2024年报,2023年报,2022年报,2021年报,2020年报,2019年报,2018年报,2017年报,2016年报,2015年报,2014年报
SECURITY_TYPE_CODE,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001,058001001
NOTICE_DATE,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-03-12 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00,2017-11-10 00:00:00
UPDATE_DATE,2025-03-15 00:00:00,2025-03-15 00:00:00,2024-03-16 00:00:00,2023-03-10 00:00:00,2022-04-22 00:00:00,2021-04-28 00:00:00,2020-04-25 00:00:00,2019-04-25 00:00:00,2018-05-29 00:00:00,2018-05-29 00:00:00,2017-11-10 00:00:00
CURRENCY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
TOTAL_OPERATE_INCOME,362012554000.0,400917045000.0,328593987500.0,130355796400.0,50319487700.0,45788020642.41,29611265434.22,19996860806.33,14878985098.12,5702884874.34,866786361.55
TOTAL_OPERATE_INCOME_YOY,-9.7038755237,22.0098541821,152.0747036762,159.0562868548,9.8966214176,54.6304082955,48.0795696935,34.3966720476,160.9027786107,557.9343108424,
OPERATE_INCOME,362012554000.0,400917045000.0,328593987500.0,130355796400.0,50319487700.0,45788020642.41,29611265434.22,19996860806.33,14878985098.12,5702884874.34,866786361.55
OPERATE_INCOME_YOY,-9.7038755237,22.0098541821,152.0747036762,159.0562868548,9.8966214176,54.6304082955,48.0795696935,34.3966720476,160.9027786107,557.9343108424,
INTEREST_INCOME,,,,,,,,,,,
INTEREST_INCOME_YOY,,,,,,,,,,,
EARNED_PREMIUM,,,,,,,,,,,
EARNED_PREMIUM_YOY,,,,,,,,,,,
FEE_COMMISSION_INCOME,,,,,,,,,,,
FEE_COMMISSION_INCOME_YOY,,,,,,,,,,,
OTHER_BUSINESS_INCOME,,,,,,,,,,,
OTHER_BUSINESS_INCOME_YOY,,,,,,,,,,,
TOI_OTHER,,,,,,,,,,,
TOI_OTHER_YOY,,,,,,,,,,,
TOTAL_OPERATE_COST,303303900000.0,350610618000.0,293745632000.0,111367290600.0,43485843500.0,38954702306.61,24754263221.37,16875255721.27,11584739495.37,4658155646.48,866520694.75
TOTAL_OPERATE_COST_YOY,-13.4926655302,19.3585809644,163.7629329199,156.1001043937,11.6318208717,57.3656301472,46.6897072864,45.6679774976,148.6979906763,437.5700401274,
OPERATE_COST,273518959000.0,323982130000.0,262049609200.0,96093722300.0,36349153600.0,32482760512.62,19902284153.15,12740187148.7,8376801892.4,3499202013.73,643729807.47
OPERATE_COST_YOY,-15.5759118566,23.6338916853,172.7021109474,164.3630257735,11.9029079621,63.2112186856,56.2165761056,52.0889154638,139.3917773118,443.5824119257,
INTEREST_EXPENSE,,,,,,,,,,,
INTEREST_EXPENSE_YOY,,,,,,,,,,,
FEE_COMMISSION_EXPENSE,,,,,,,,,,,
FEE_COMMISSION_EXPENSE_YOY,,,,,,,,,,,
RESEARCH_EXPENSE,18606756000.0,18356108000.0,15510453500.0,7691427600.0,3569377700.0,2992107516.52,1991000384.84,1631900455.51,,,
RESEARCH_EXPENSE_YOY,1.365474642,18.3466879289,101.6589677058,115.4837130293,19.2930962638,50.2816141726,22.0050143449,,,,
SURRENDER_VALUE,,,,,,,,,,,
SURRENDER_VALUE_YOY,,,,,,,,,,,
NET_COMPENSATE_EXPENSE,,,,,,,,,,,
NET_COMPENSATE_EXPENSE_YOY,,,,,,,,,,,
NET_CONTRACT_RESERVE,,,,,,,,,0.0,0.0,
NET_CONTRACT_RESERVE_YOY,,,,,,,,,,,
POLICY_BONUS_EXPENSE,,,,,,,,,,,
POLICY_BONUS_EXPENSE_YOY,,,,,,,,,,,
REINSURE_EXPENSE,,,,,,,,,,,
REINSURE_EXPENSE_YOY,,,,,,,,,,,
OTHER_BUSINESS_COST,,,,,,,,,,,
OTHER_BUSINESS_COST_YOY,,,,,,,,,,,
OPERATE_TAX_ADD,2057466000.0,1695508000.0,907484500.0,486534200.0,295129900.0,272228105.62,171183911.7,95900521.0,109215284.54,39629825.6,10300.8
OPERATE_TAX_ADD_YOY,21.3480561578,86.8360286043,86.5201870701,64.8542557023,8.4127222382,59.0266882656,78.5015450542,-12.191300509,175.588607536,384625.706741224,
SALE_EXPENSE,3562797000.0,3042744000.0,11099401200.0,4367869400.0,2216709500.0,2156553541.51,1378868425.55,795766091.83,632190722.09,330920265.24,43294226.16
SALE_EXPENSE_YOY,17.0915791798,-72.58641304,154.1147681751,97.0429323283,2.7894488744,56.4002410636,73.2755943872,25.8743705063,91.0401956288,664.3519577346,
MANAGE_EXPENSE,9689839000.0,8461824000.0,6978669400.0,3368937100.0,1768115200.0,1832673929.87,1590659572.27,1324587823.0,2152228887.34,620575323.94,152321605.53
MANAGE_EXPENSE_YOY,14.5124148174,21.252684645,107.1475124899,90.5383257833,-3.5226522742,15.2147173298,20.0871353828,-38.4550671728,246.8118702619,307.4112282238,
ME_RESEARCH_EXPENSE,,,,,,,,,,,
ME_RESEARCH_EXPENSE_YOY,,,,,,,,,,,
FINANCE_EXPENSE,-4131918000.0,-4927697000.0,-2799985800.0,-641200000.0,-712642400.0,-781621299.53,-279733226.14,42169650.35,80443838.96,109186539.31,24573664.53
FINANCE_EXPENSE_YOY,16.1491057587,-75.9900710925,-336.6790081098,10.0249999158,8.8251048905,-179.4166822138,-763.352016956,-47.5787693686,-26.3243990804,344.3233900939,
FE_INTEREST_EXPENSE,3879076000.0,3446516000.0,2132375400.0,1161100400.0,640434300.0,289254465.49,204435332.83,98824909.51,,,
FE_INTEREST_EXPENSE_YOY,12.5506453474,61.6280135289,83.6512501417,81.2989091933,121.4086129717,41.4894683252,106.8661978479,,,,
FE_INTEREST_INCOME,9502997000.0,8321802000.0,3987365200.0,2323262000.0,1494601000.0,1078256966.28,565817388.3,101526949.61,,,
FE_INTEREST_INCOME_YOY,14.1939810632,108.7042842226,71.6278749448,55.4436267606,38.6126912916,90.5662477994,457.3075823449,,,,
ASSET_IMPAIRMENT_LOSS,,,,,,,,244744030.88,233858870.04,58641678.66,2591090.26
ASSET_IMPAIRMENT_LOSS_YOY,,,,,,,,4.6545854079,298.792932576,2163.2047816042,
CREDIT_IMPAIRMENT_LOSS,,,,,,,,,,,
CREDIT_IMPAIRMENT_LOSS_YOY,,,,,,,,,,,
TOC_OTHER,,,,,,,,,0.0,0.0,
TOC_OTHER_YOY,,,,,,,,,,,
FAIRVALUE_CHANGE_INCOME,664223000.0,46270000.0,400241300.0,,286915900.0,27331582.1,-314247518.1,,,,
FAIRVALUE_CHANGE_INCOME_YOY,1335.537065053,-88.4394738874,,,949.759574657,108.6974695187,,,,,
INVEST_INCOME,3987823000.0,3189201000.0,2514538600.0,1232699000.0,-117648600.0,-79604902.02,184397531.48,1344305303.77,76080348.84,1455431.76,16117579.09
INVEST_INCOME_YOY,25.0414445499,26.8304650404,103.9864232874,1147.7804240764,-47.7906473278,-143.1702644721,-86.2830615216,1666.9547054748,5127.3387822731,-90.969910854,
INVEST_JOINT_INCOME,3743040000.0,3745762000.0,2614517000.0,575836900.0,-4027300.0,-11899568.84,-4264014.31,-49976783.37,21669756.19,-9658518.48,13024101.96
INVEST_JOINT_INCOME_YOY,-0.0726687921,43.2678387633,354.0377665968,14398.3363543813,66.1559166206,-179.0696272312,91.4680096988,-330.6291908954,324.3590073868,-174.1588058022,
NET_EXPOSURE_INCOME,,,,,,,,,,,
NET_EXPOSURE_INCOME_YOY,,,,,,,,,,,
EXCHANGE_INCOME,,,,,,,,,,,
EXCHANGE_INCOME_YOY,,,,,,,,,,,
ASSET_DISPOSAL_INCOME,19319000.0,16984000.0,-5322700.0,-23190300.0,-9890400.0,1382204.06,-91538964.57,-78311541.52,-158205248.94,-590103.88,
ASSET_DISPOSAL_INCOME_YOY,13.7482336317,419.0861780675,77.0477311635,-134.4728221306,-815.552810632,101.5099625241,-16.8907708791,50.5000358429,-26709.7286430315,,
ASSET_IMPAIRMENT_INCOME,-8423325000.0,-5853927000.0,-2826926600.0,-2034437800.0,-827489400.0,-1434329163.69,-974912150.01,,,,
ASSET_IMPAIRMENT_INCOME_YOY,-43.8918695091,-107.0774317239,-38.9537001328,-145.8566599161,42.3082636156,-47.1239396981,,,,,
CREDIT_IMPAIRMENT_INCOME,-872526000.0,-254041000.0,-1146247900.0,-13301600.0,-341982500.0,-235676386.11,,,,,
CREDIT_IMPAIRMENT_INCOME_YOY,-243.4587330392,77.8371676842,-8517.3685872376,96.1104442479,-45.106816022,,,,,,
OTHER_INCOME,9967630000.0,6267388000.0,3037344800.0,1673454100.0,1135940400.0,646371587.96,507775215.03,444421648.35,,,
OTHER_INCOME_YOY,59.0396190566,106.3443044069,81.501530278,47.3188294034,75.7410785312,27.294828268,14.2552836738,,,,
OPERATE_PROFIT_OTHER,,,,,,,,,,,
OPERATE_PROFIT_OTHER_YOY,,,,,,,,,,,
OPERATE_PROFIT_BALANCE,1000,0,100,0,0,0,0,0,0,0,0
OPERATE_PROFIT_BALANCE_YOY,,-100.0,,,,,,,,,
OPERATE_PROFIT,64051799000.0,53718302000.0,36821983100.0,19823729200.0,6959489600.0,5758793258.1,4168476326.68,4832020495.66,3212120702.65,1045594555.74,16383245.89
OPERATE_PROFIT_YOY,19.2364550168,45.8864989811,85.747004151,184.8445840051,20.8497907129,38.1510366568,-13.732230018,50.4308506114,207.2051862757,6282.0964585425,
NONBUSINESS_INCOME,135422000.0,503675000.0,159426800.0,183039700.0,94318100.0,62428112.63,62303262.42,18655542.93,188974466.62,71190367.14,46216154.07
NONBUSINESS_INCOME_YOY,-73.1132178488,215.9286895302,-12.9004254268,94.0663562985,51.0827350476,0.2003911274,233.9664927136,-90.1280086862,165.4494901654,54.037843634,
NONCURRENT_DISPOSAL_INCOME,,,,,,,,,,,
NONCURRENT_DISPOSAL_INCOME_YOY,,,,,,,,,,,
NONBUSINESS_EXPENSE,1005182000.0,307924000.0,308553600.0,119639800.0,71254200.0,60456806.48,25966337.17,2575814.31,881463.97,16752779.33,169330.58
NONBUSINESS_EXPENSE_YOY,226.4383419285,-0.2040488265,157.9021362456,67.905611178,17.8596822238,132.8276263386,908.0826505696,192.2200336787,-94.7384015951,9793.5344873915,
NONCURRENT_DISPOSAL_LOSS,,,,,,,,,,,102484.05
NONCURRENT_DISPOSAL_LOSS_YOY,,,,,,,,,,,
EFFECT_TP_OTHER,,,,,,,,,0.0,0.0,
EFFECT_TP_OTHER_YOY,,,,,,,,,,,
TOTAL_PROFIT_BALANCE,0,0,-100,0,-100,0,0,0,0,0,0
TOTAL_PROFIT_BALANCE_YOY,,100.0,,100.0,,,,,,,
TOTAL_PROFIT,63182039000.0,53914053000.0,36672856200.0,19887129100.0,6982553400.0,5760764564.25,4204813251.93,4848100224.28,3400213705.3,1100032143.55,62430069.38
TOTAL_PROFIT_YOY,17.1902973052,47.0135096813,84.4049787961,184.8117008314,21.2087965429,37.0040527152,-13.2688464056,42.5822211328,209.1013044698,1662.0229393857,
INCOME_TAX,9175245000.0,7153019000.0,3215712700.0,2026399000.0,878635400.0,748090666.38,468916764.21,654043646.62,481776851.01,149451069.1,6866277.79
INCOME_TAX_YOY,28.2709440587,122.439616574,58.6909932348,130.6302477683,17.4503893026,59.5359184141,-28.3049737379,35.7565531114,222.3642720733,2076.5951461745,
EFFECT_NETPROFIT_OTHER,,,,,,,,,,,
EFFECT_NETPROFIT_OTHER_YOY,,,,,,,,,,,
EFFECT_NETPROFIT_BALANCE,,,,,,,,,,,
EFFECT_NETPROFIT_BALANCE_YOY,,,,,,,,,,,
UNCONFIRM_INVEST_LOSS,,,,,,,,,,,
UNCONFIRM_INVEST_LOSS_YOY,,,,,,,,,,,
NETPROFIT,54006794000.0,46761034000.0,33457143500.0,17860730100.0,6103918100.0,5012673897.87,3735896487.72,4194056577.66,2918436854.29,950581074.45,55563791.59
NETPROFIT_YOY,15.4952946507,39.7639759653,87.3223732327,192.6109067551,21.769702645,34.1759311144,-10.924032174,43.7090054388,207.016090761,1610.7923114107,
PRECOMBINE_PROFIT,,,,,,,,,,,
PRECOMBINE_PROFIT_YOY,,,,,,,,,,,
CONTINUED_NETPROFIT,54006794000.0,46761034000.0,33457143500.0,17860730100.0,6103918100.0,5012673897.87,3735896487.72,4194056577.66,2918436854.29,950581074.45,
CONTINUED_NETPROFIT_YOY,15.4952946507,39.7639759653,87.3223732327,192.6109067551,21.769702645,34.1759311144,-10.924032174,43.7090054388,207.016090761,,
DISCONTINUED_NETPROFIT,,,,,,,,,,,
DISCONTINUED_NETPROFIT_YOY,,,,,,,,,,,
PARENT_NETPROFIT,50744682000.0,44121248000.0,30729163500.0,15931317900.0,5583338700.0,4560307432.71,3387035207.64,3877954869.7,2851821419.26,930646375.1,54425751.28
PARENT_NETPROFIT_YOY,15.011891776,43.5810252368,92.8852571575,185.3367627509,22.433383766,34.6400953384,-12.6592412381,35.9816867743,206.4344841996,1609.9375814073,
MINORITY_INTEREST,3262113000.0,2639786000.0,2727980100.0,1929412300.0,520579300.0,452366465.16,348861280.08,316101707.96,66615435.03,19934699.35,1138040.31
MINORITY_INTEREST_YOY,23.5749034202,-3.2329451377,41.3891732731,270.6279331506,15.079109548,29.6694391124,10.363617562,374.5172163443,234.1682453315,1651.6690028317,
DEDUCT_PARENT_NETPROFIT,44992920000.0,40091674000.0,28213098000.0,13442364300.0,4264694400.0,3915220700.0,3128314783.38,2375677840.37,2786451293.13,880095744.38,13097651.28
DEDUCT_PARENT_NETPROFIT_YOY,12.2250969116,42.103054404,109.8819625057,215.2011149967,8.9260281036,25.1543073862,31.680934604,-14.7418134949,216.6077453417,6619.4928736872,
NETPROFIT_OTHER,,,,,,,,,,,
NETPROFIT_OTHER_YOY,,,,,,,,,,,
NETPROFIT_BALANCE,,,,,,,,,,,
NETPROFIT_BALANCE_YOY,,,,,,,,,,,
BASIC_EPS,11.58,10.06,7.1766,6.876,2.4942,2.0937,1.6412,2.0084,1.8736,0.7755,
BASIC_EPS_YOY,15.1093439364,40.1778000725,4.3717277487,175.6795766178,19.1288150165,27.5712893005,-18.2832105158,7.19470538,141.5989684075,,
DILUTED_EPS,11.58,10.05,7.1553,6.8392,2.4848,2.0887,1.6407,0.0,,,
DILUTED_EPS_YOY,15.223880597,40.4553268207,4.6218856007,175.2414681262,18.9639488677,27.305418419,,,,,
OTHER_COMPRE_INCOME,-1687613000.0,-4711859000.0,5046510500.0,3013987200.0,505828700.0,957658852.86,-585339219.51,246933121.24,888062.23,494869.71,183958.4
OTHER_COMPRE_INCOME_YOY,64.1837117792,-193.3686554303,67.4363613754,495.8513623288,-47.1807002578,263.607498172,-337.0436240269,27705.8353230494,79.4537455121,169.0117493955,
PARENT_OCI,-1804283000.0,-4553144000.0,4722980200.0,3081326900.0,506173300.0,957658852.86,-585339219.51,246933121.24,888062.23,494869.71,183958.4
PARENT_OCI_YOY,60.3728105239,-196.4040459031,53.2774792574,508.7493947231,-47.1447166715,263.607498172,-337.0436240269,27705.8353230494,79.4537455121,169.0117493955,
MINORITY_OCI,116670000.0,-158715000.0,323530300.0,-67339700.0,-344600.0,,,,,,
MINORITY_OCI_YOY,173.509120121,-149.057228952,580.4451163281,-19441.4103308183,,,,,,,
PARENT_OCI_OTHER,,,,,,,,,,,
PARENT_OCI_OTHER_YOY,,,,,,,,,,,
PARENT_OCI_BALANCE,,,,,,,,,,,
PARENT_OCI_BALANCE_YOY,,,,,,,,,,,
UNABLE_OCI,-2527245000.0,-1116764000.0,3340676900.0,4026035900.0,152159200.0,11970230.92,,,,,
UNABLE_OCI_YOY,-126.3007224445,-133.4292729716,-17.0231716016,2545.9365585518,1171.1467390806,,,,,,
CREDITRISK_FAIRVALUE_CHANGE,,,,,,,,,,,
CREDITRISK_FAIRVALUE_CHANGE_YOY,,,,,,,,,,,
OTHERRIGHT_FAIRVALUE_CHANGE,-2620701000.0,-1115077000.0,3403914800.0,3864591400.0,152159200.0,11970230.92,,,,,
OTHERRIGHT_FAIRVALUE_CHANGE_YOY,-135.0242180585,-132.7586636422,-11.9204477865,2439.8341999695,1171.1467390806,,,,,,
SETUP_PROFIT_CHANGE,,,,,,,,,,,
SETUP_PROFIT_CHANGE_YOY,,,,,,,,,,,
RIGHTLAW_UNABLE_OCI,93456000.0,-1687000.0,-63237900.0,161444500.0,,,,,,,
RIGHTLAW_UNABLE_OCI_YOY,5639.7747480735,97.3322959807,-139.1700553441,,,,,,,,
UNABLE_OCI_OTHER,,,,,,,,,,,
UNABLE_OCI_OTHER_YOY,,,,,,,,,,,
UNABLE_OCI_BALANCE,,,,,,,,,,,
UNABLE_OCI_BALANCE_YOY,,,,,,,,,,,
ABLE_OCI,722962000.0,-3436380000.0,1382303300.0,-944709000.0,354014100.0,945688621.94,-585339219.51,246933121.24,888062.23,494869.71,183958.4
ABLE_OCI_YOY,121.0384765364,-348.5981188065,246.3205389173,-366.8563201296,-62.5654690363,261.5624906753,-337.0436240269,27705.8353230494,79.4537455121,169.0117493955,
RIGHTLAW_ABLE_OCI,-235668000.0,526624000.0,7040100.0,5459700.0,,,,,,,
RIGHTLAW_ABLE_OCI_YOY,-144.7507139819,7380.3482905072,28.9466454201,,,,,,,,
AFA_FAIRVALUE_CHANGE,,,,,,,-479991456.67,238010625.0,,,
AFA_FAIRVALUE_CHANGE_YOY,,,,,,,-301.6680795952,,,,
HMI_AFA,,,,,,,,,,,
HMI_AFA_YOY,,,,,,,,,,,
CASHFLOW_HEDGE_VALID,-441101000.0,-3028698000.0,257115700.0,-771009100.0,292241900.0,912685843.66,-114273400.88,8302271.33,,,
CASHFLOW_HEDGE_VALID_YOY,85.4359530069,-1277.9514047567,133.3479462175,-363.8256526528,-67.980011739,898.6861654869,-1476.4113016528,,,,
CREDITOR_FAIRVALUE_CHANGE,,,,,,,,,,,
CREDITOR_FAIRVALUE_CHANGE_YOY,,,,,,,,,,,
CREDITOR_IMPAIRMENT_RESERVE,,,,,,,,,,,
CREDITOR_IMPAIRMENT_RESERVE_YOY,,,,,,,,,,,
FINANCE_OCI_AMT,157579000.0,-212739000.0,,-14963500.0,,,,,,,
FINANCE_OCI_AMT_YOY,174.0715148609,,,,,,,,,,
CONVERT_DIFF,1242151000.0,-721567000.0,1145973100.0,-164196000.0,61772200.0,33002778.28,8925638.04,620224.91,888062.23,494869.71,183958.4
CONVERT_DIFF_YOY,272.1463148952,-162.9654395902,797.9299739336,-365.8088913783,87.1727267199,269.7525950761,1339.0969946692,-30.1597468006,79.4537455121,169.0117493955,
ABLE_OCI_OTHER,,,-27825600.0,,,,,,,,
ABLE_OCI_OTHER_YOY,,,,,,,,,,,
ABLE_OCI_BALANCE,,,,,,,,,,,
ABLE_OCI_BALANCE_YOY,,,,,,,,,,,
OCI_OTHER,,,,,,,,,,,
OCI_OTHER_YOY,,,,,,,,,,,
OCI_BALANCE,,,,,,,,,,,
OCI_BALANCE_YOY,,,,,,,,,,,
TOTAL_COMPRE_INCOME,52319181000.0,42049175000.0,38503654000.0,20874717400.0,6609746800.0,5970332750.73,3150557268.21,4440989698.9,2919324916.52,951075944.16,55747749.99
TOTAL_COMPRE_INCOME_YOY,24.4237990401,9.2082715059,84.4511389649,215.8172019539,10.7098561498,89.5008483411,-29.0573164583,52.1238582855,206.9497167335,1606.0346728444,
PARENT_TCI,48940398000.0,39568104000.0,35452143600.0,19012644700.0,6089512000.0,5517966285.57,2801695988.13,4124887990.94,2852709481.49,931141244.81,54609709.68
PARENT_TCI_YOY,23.6864874799,11.6099055855,86.4661342985,212.219512828,10.3579051566,96.9509293281,-32.0782529299,44.595445758,206.366998282,1605.0836751674,
MINORITY_TCI,3378782000.0,2481071000.0,3051510400.0,1862072600.0,520234700.0,452366465.16,348861280.08,316101707.96,66615435.03,19934699.35,1138040.31
MINORITY_TCI_YOY,36.1823986496,-18.6936737951,63.8770905066,257.9293345869,15.0029323717,29.6694391124,10.363617562,374.5172163443,234.1682453315,1651.6690028317,
PRECOMBINE_TCI,,,,,,,,,,,
PRECOMBINE_TCI_YOY,,,,,,,,,,,
EFFECT_TCI_BALANCE,,,,,,,,,,,
EFFECT_TCI_BALANCE_YOY,,,,,,,,,,,
TCI_OTHER,,,,,,,,,,,
TCI_OTHER_YOY,,,,,,,,,,,
TCI_BALANCE,,,,,,,,,,,
TCI_BALANCE_YOY,,,,,,,,,,,
ACF_END_INCOME,-396983000.0,-636725000.0,-530396900.0,-328331800.0,-91456100.0,-100357220.91,,,,,
ACF_END_INCOME_YOY,37.6523616946,-20.0468931851,-61.5429574595,-259.0048121448,8.8694374249,,,,,,
OPINION_TYPE,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,
